Date,State/Territory,Barrels (Thousands)
4/1/2010,North Dakota,284
4/1/2010,Ohio,13
4/1/2010,Oklahoma,185
4/1/2010,Pennsylvania,9
4/1/2010,South Dakota,4
4/1/2010,Tennessee,1
4/1/2010,Texas,1137
4/1/2010,U.S. Crude Oil ,5383
4/1/2010,Utah,66
4/1/2010,Virginia,0
4/1/2010,West Virginia,5
4/1/2010,Wyoming,146
5/1/2010,Alabama,19
5/1/2010,Alaska,571
5/1/2010,Arizona,0
5/1/2010,Arkansas,16
5/1/2010,California,554
5/1/2010,Colorado,89
5/1/2010,Federal Offshore Gulf of Mexico Crude Oil,1536
5/1/2010,Federal Offshore Pacific Crude Oil,61
5/1/2010,Florida,5
5/1/2010,Idaho,0
5/1/2010,Illinois,24
5/1/2010,Indiana,5
5/1/2010,Kansas,109
5/1/2010,Kentucky,10
5/1/2010,Louisiana,185
5/1/2010,Michigan,18
5/1/2010,Mississippi,65
5/1/2010,Missouri,0
5/1/2010,Montana,69
5/1/2010,Nebraska,6
5/1/2010,Nevada,1
5/1/2010,New Mexico,178
5/1/2010,New York,1
5/1/2010,North Dakota,297
5/1/2010,Ohio,13
5/1/2010,Oklahoma,178
5/1/2010,Pennsylvania,9
5/1/2010,South Dakota,4
5/1/2010,Tennessee,1
5/1/2010,Texas,1146
5/1/2010,U.S. Crude Oil ,5391
5/1/2010,Utah,67
5/1/2010,Virginia,0
5/1/2010,West Virginia,5
5/1/2010,Wyoming,147
6/1/2010,Alabama,19
6/1/2010,Alaska,534
6/1/2010,Arizona,0
6/1/2010,Arkansas,16
6/1/2010,California,551
6/1/2010,Colorado,86
6/1/2010,Federal Offshore Gulf of Mexico Crude Oil,1543
6/1/2010,Federal Offshore Pacific Crude Oil,61
6/1/2010,Florida,5
6/1/2010,Idaho,0
6/1/2010,Illinois,26
6/1/2010,Indiana,5
6/1/2010,Kansas,115
6/1/2010,Kentucky,7
6/1/2010,Louisiana,186
6/1/2010,Michigan,18
6/1/2010,Mississippi,65
6/1/2010,Missouri,0
6/1/2010,Montana,68
6/1/2010,Nebraska,6
6/1/2010,Nevada,1
6/1/2010,New Mexico,176
6/1/2010,New York,1
6/1/2010,North Dakota,313
6/1/2010,Ohio,13
6/1/2010,Oklahoma,191
6/1/2010,Pennsylvania,9
6/1/2010,South Dakota,4
6/1/2010,Tennessee,1
6/1/2010,Texas,1139
6/1/2010,U.S. Crude Oil ,5381
6/1/2010,Utah,68
6/1/2010,Virginia,0
6/1/2010,West Virginia,6
6/1/2010,Wyoming,146
7/1/2010,Alabama,20
7/1/2010,Alaska,545
7/1/2010,Arizona,0
7/1/2010,Arkansas,15
7/1/2010,California,550
7/1/2010,Colorado,83
7/1/2010,Federal Offshore Gulf of Mexico Crude Oil,1434
7/1/2010,Federal Offshore Pacific Crude Oil,59
7/1/2010,Florida,5
7/1/2010,Idaho,0
7/1/2010,Illinois,25
7/1/2010,Indiana,5
7/1/2010,Kansas,111
7/1/2010,Kentucky,7
7/1/2010,Louisiana,187
7/1/2010,Michigan,19
7/1/2010,Mississippi,65
7/1/2010,Missouri,0
7/1/2010,Montana,69
7/1/2010,Nebraska,6
7/1/2010,Nevada,1
7/1/2010,New Mexico,179
7/1/2010,New York,1
7/1/2010,North Dakota,320
7/1/2010,Ohio,13
7/1/2010,Oklahoma,192
7/1/2010,Pennsylvania,9
7/1/2010,South Dakota,4
7/1/2010,Tennessee,1
